Date,MCP
11/4/2016,2854.59
12/4/2016,3147.86
13/4/2016,3132.32
14/4/2016,2977.59
15/4/2016,2865.48
16/4/2016,2845.88
17/4/2016,2652.41
18/4/2016,2711.27
19/4/2016,2461.59
20/4/2016,2622.28
21/4/2016,2699.1
22/4/2016,2718.4
23/4/2016,2750.77
24/4/2016,2632.52
25/4/2016,2847.22
26/4/2016,2908.14
27/4/2016,2998.87
28/4/2016,3249.18
29/4/2016,3391.82
30/4/2016,3316.7
1/5/2016,2687
2/5/2016,2718.62
3/5/2016,2523.61
4/5/2016,2521.48
5/5/2016,2518.22
6/5/2016,2399.54
7/5/2016,2334.12
8/5/2016,2006.18
9/5/2016,2115.06
10/5/2016,2001.16
11/5/2016,2215.72
12/5/2016,2341.74
13/5/2016,2433.06
14/5/2016,2582.99
15/5/2016,2318.29
16/5/2016,2492.8
17/5/2016,2626.58
18/5/2016,2486.45
19/5/2016,2377.25
20/5/2016,2337.07
21/5/2016,2185.33
22/5/2016,1574.21
23/5/2016,2054.76
24/5/2016,2247.37
25/5/2016,2243.77
26/5/2016,2349.42
27/5/2016,2352.96
28/5/2016,2509.94
29/5/2016,2309.58
30/5/2016,1850.66
31/5/2016,2217.1
1/6/2016,2488.53
2/6/2016,2460.45
3/6/2016,2397.98
4/6/2016,2475.12
5/6/2016,2299.97
6/6/2016,2640.42
7/6/2016,2503.08
8/6/2016,2331.13
9/6/2016,2276.22
10/6/2016,2220.21
11/6/2016,2099.4
12/6/2016,1912.99
13/6/2016,2165.45
14/6/2016,2293.91
15/6/2016,2175.87
16/6/2016,2363.8
17/6/2016,2499.93
18/6/2016,2384.48
19/6/2016,2199.82
20/6/2016,2374.56
21/6/2016,2199.96
22/6/2016,2277.38
23/6/2016,2286.97
24/6/2016,2334.26
25/6/2016,2364.07
26/6/2016,2201.66
27/6/2016,2396.46
28/6/2016,2275.89
29/6/2016,2221.11
30/6/2016,2240.96
1/7/2016,2276.32
2/7/2016,2283.43
3/7/2016,1890.3
4/7/2016,2132.59
5/7/2016,2143.19
6/7/2016,2024.8
7/7/2016,2095.89
8/7/2016,2263.15
9/7/2016,2266.09
10/7/2016,2031.14
11/7/2016,2207.67
12/7/2016,2181.95
13/7/2016,2169.3
14/7/2016,2193.42
15/7/2016,2400.26
16/7/2016,2340.37
17/7/2016,2155.3
18/7/2016,2174.23
19/7/2016,2167.99
20/7/2016,2131.47
21/7/2016,2166.5
22/7/2016,2235.5
23/7/2016,2199.98
24/7/2016,1889.36
25/7/2016,2231.59
26/7/2016,2295.11
27/7/2016,2224.84
28/7/2016,2143.5
29/7/2016,2147.91
30/7/2016,2143.02
31/7/2016,1749.35
1/8/2016,1959.53
2/8/2016,1986.29
3/8/2016,1876.62
4/8/2016,2000.48
5/8/2016,1824.33
6/8/2016,2023.58
7/8/2016,1870.61
8/8/2016,2277.99
9/8/2016,2085.04
10/8/2016,2038.56
11/8/2016,1915.73
12/8/2016,1911.13
13/8/2016,1994.2
14/8/2016,2130.09
15/8/2016,1703.16
16/8/2016,2189.09
17/8/2016,2195.14
18/8/2016,2113.89
19/8/2016,2235.51
20/8/2016,2399.76
21/8/2016,2258.49
22/8/2016,2649.07
23/8/2016,2635.52
24/8/2016,2803.21
25/8/2016,2428.42
26/8/2016,2390.46
27/8/2016,2378.33
28/8/2016,2127.52
29/8/2016,2305.57
30/8/2016,2300
31/8/2016,2130.68
1/9/2016,2018.21
2/9/2016,1988.91
3/9/2016,2188.61
4/9/2016,1922.02
5/9/2016,1974.23
6/9/2016,2210.4
7/9/2016,2393.49
8/9/2016,2402.05
9/9/2016,2813.64
10/9/2016,2845.22
11/9/2016,2383.3
12/9/2016,2690.72
13/9/2016,2555.87
14/9/2016,2602.91
15/9/2016,2399.8
16/9/2016,2473.29
17/9/2016,2358.53
18/9/2016,2291.01
19/9/2016,2444.17
20/9/2016,2697.99
21/9/2016,2667.16
22/9/2016,2641.29
23/9/2016,2457.69
24/9/2016,2405.29
25/9/2016,2052
26/9/2016,2177.85
27/9/2016,2299.81
28/9/2016,2574.24
29/9/2016,2989.35
30/9/2016,2942.7
1/10/2016,2789.52
2/10/2016,2430.38
3/10/2016,2498.98
4/10/2016,2482.58
5/10/2016,2396.06
6/10/2016,2358.27
7/10/2016,2281.85
8/10/2016,2304.55
9/10/2016,2166.77
10/10/2016,2193.43
11/10/2016,1961.5
12/10/2016,2141.81
13/10/2016,2289.27
14/10/2016,2334.74
15/10/2016,2532.71
16/10/2016,2372.29
17/10/2016,2426.27
18/10/2016,2495.71
19/10/2016,2518.72
20/10/2016,2555.26
21/10/2016,2739.02
22/10/2016,2872.9
23/10/2016,2640.66
24/10/2016,2748
25/10/2016,2687.51
26/10/2016,2696.27
27/10/2016,2652.09
28/10/2016,2716.68
29/10/2016,2568.48
30/10/2016,2359.26
31/10/2016,2101.19
1/11/2016,2108.12
2/11/2016,2339.04
3/11/2016,2357.34
4/11/2016,2657.83
5/11/2016,2535.29
6/11/2016,2313.28
7/11/2016,2358.75
8/11/2016,2500
9/11/2016,2529.88
10/11/2016,2550.63
11/11/2016,2501.8
12/11/2016,2368.2
13/11/2016,2193.38
14/11/2016,2277.88
15/11/2016,2381.36
16/11/2016,2252.86
17/11/2016,2415.31
18/11/2016,2199.98
19/11/2016,2362.95
20/11/2016,2128.51
21/11/2016,2177.21
22/11/2016,2299.98
23/11/2016,2311.68
24/11/2016,2306.83
25/11/2016,2277.14
26/11/2016,2212.85
27/11/2016,1942.76
28/11/2016,2191.51
29/11/2016,2328.74
30/11/2016,2141.89
1/12/2016,2221.95
2/12/2016,2332.43
3/12/2016,2330.72
4/12/2016,2120.65
5/12/2016,2530.58
6/12/2016,2636.9
7/12/2016,2831.88
8/12/2016,2677.38
9/12/2016,2611.6
10/12/2016,2340.94
11/12/2016,2107.64
12/12/2016,2020.54
13/12/2016,2187.32
